env,method,n_seeds,mean_return,std_return,mean_total_cost,std_total_cost,mean_violation_rate,std_violation_rate,mean_episode_violation,std_episode_violation,mean_min_h_value,std_min_h_value,mean_intervention_rate,std_intervention_rate,mean_cost,std_cost
cartpole_stab,LQR,1,5.467019800651807,0.0,5.45,0.0,0.16399999999999995,0.0,1.0,0.0,,0.0,,0.0,5.45,0.0
cartpole_stab,SAC,3,88.49675453845731,0.6032142543138644,9.6,1.2569805089976536,0.22999999999999998,0.016874262672506333,0.9,0.0,,0.0,,0.0,9.6,1.2569805089976536
cartpole_stab,SAC+Lagrangian,3,34.01168558682297,33.39919891873116,1.7333333333333334,0.36817870057290875,0.20399999999999996,0.001962613525850624,0.5333333333333333,0.1699673171197595,,0.0,,0.0,1.7333333333333334,0.36817870057290875
cartpole_stab,SAC+Penalty,3,54.43051613141004,38.13467333376789,3.233333333333333,2.5223445883190148,0.21813933181683484,0.05476748225634546,0.7000000000000001,0.21602468994692867,,0.0,,0.0,3.233333333333333,2.5223445883190148
cartpole_stab,KCBF-SAC,3,88.6384427854844,0.31453786644428,9.566666666666666,1.2036980056845188,0.0,0.0,0.0,0.0,1.9414529417384523,0.005418972315584858,0.0,0.0,9.566666666666666,1.2036980056845188
cartpole_track,LQR,1,30.397349139798308,0.0,50.35,0.0,0.46333333333333326,0.0,1.0,0.0,,0.0,,0.0,50.35,0.0
cartpole_track,SAC,3,95.57896352151674,0.506310501304561,28.433333333333334,1.7987650084309383,0.34977777777777774,0.011830072581516615,1.0,0.0,,0.0,,0.0,28.433333333333334,1.7987650084309383
cartpole_track,SAC+Lagrangian,3,20.821133968354236,18.081319015213126,3.4333333333333336,1.8080068829760825,0.3320527382709179,0.1326517463337878,0.7999999999999999,0.282842712474619,,0.0,,0.0,3.4333333333333336,1.8080068829760825
cartpole_track,SAC+Penalty,3,89.34240076383969,0.4539782263253026,2.533333333333333,0.26246692913372704,0.18333333333333332,0.008018497134519437,0.7999999999999999,0.08164965809277262,,0.0,,0.0,2.533333333333333,0.26246692913372704
cartpole_track,KCBF-SAC,3,97.0312154682763,1.4669036127679387,23.933333333333334,1.5691469727919762,0.0,0.0,0.0,0.0,1.8131313253163992,0.042920469134933664,0.00022222222222222,0.0003142696805273513,23.933333333333334,1.5691469727919762
quadrotor2d_stab,LQR,1,72.38760148857753,0.0,113.2,0.0,0.6402023718537364,0.0,0.95,0.0,,0.0,,0.0,113.2,0.0
quadrotor2d_stab,SAC,3,196.04052487095495,0.9884770590816528,1.6000000000000003,0.16329931618554527,0.0064,0.0006531972647421811,0.3,0.08164965809277261,,0.0,,0.0,1.6000000000000003,0.16329931618554527
